0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:17 +0800] "GET /RedeemMe/assets/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:17 +0800] "GET /RedeemMe/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:17 +0800] "GET /RedeemMe/assets/js/chart-custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:17 +0800] "GET /RedeemMe/assets/js/admin-product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:17 +0800] "GET /RedeemMe/assets/images/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:17 +0800] "GET /RedeemMe/assets/js/customizer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:27 +0800] "GET /RedeemMe/ToDeleteProduct?productId=2 HTTP/1.1" 200 24828
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:03:33 +0800] "GET /RedeemMe/ToDeleteProduct?productId=3 HTTP/1.1" 200 24828
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/ViewDashboard HTTP/1.1" 200 14336
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/css/backend-plugin.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/vendor/remixicon/fonts/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/css/backend.css?v=1.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/css/admin-dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/images/user/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/js/backend-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/images/page-img/profile-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/js/table-treeview.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/js/customizer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/js/chart-custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:03 +0800] "GET /RedeemMe/assets/images/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:08 +0800] "GET /RedeemMe/ListProductController HTTP/1.1" 200 23964
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:08 +0800] "GET /RedeemMe/assets/css/admin-product-view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:08 +0800] "GET /RedeemMe/assets/css/admin-product-update.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:08 +0800] "GET /RedeemMe/assets/css/admin-product-delete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:04:08 +0800] "GET /RedeemMe/assets/js/admin-product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:09 +0800] "GET /redeemMe/ListProductController HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:10:09 +0800] "GET /favicon.ico HTTP/1.1" 404 763
