0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/team/ASYRAF.JPG HTTP/1.1" 200 218326
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/testimonials/DAYANA.jpg HTTP/1.1" 200 253383
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/testimonials/ZAFRAN.jpg HTTP/1.1" 200 25114
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/testimonials/AINNUR.jpg HTTP/1.1" 200 142058
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/testimonials/AKMAL.jpg HTTP/1.1" 200 29444
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6 HTTP/1.1" 200 130396
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:41 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:41 +0800] "GET /RedeemMe/assets/css/sign-up.css HTTP/1.1" 200 4341
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:44 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:44 +0800] "GET /RedeemMe/assets/css/login.css HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:46 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:52:08 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:52:23 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:52:32 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
